App ID,Module Name,Branch,Category,Priority,Purpose,Prompt for Claude Terminal,Setup Command,Files Created,Status
31,SUPERFRACTAL,BRAIN,Memory,P0,"Local brain — scans YOUR files, turns them into embeddings, answers from them","You are CASH.BOT — SUPERFRACTAL MODULE. Stand up a local retrieval brain: scans their own files, turns them to vectors, lets local AI answer questions grounded in THEIR work (no cloud, 100% private). Walk them: 1) install Ollama, 2) pull models (chat + embedding), 3) index ~/cashbot-files/, 4) ask real question (only THEIR work would know), 5) name the win.","mkdir -p ~/cashbot-files/Apps/superfractal && curl -fsSL https://ollama.ai/install.sh | sh 2>/dev/null || echo 'Install Ollama manually'","~/cashbot-files/Apps/superfractal/index.db,~/cashbot-files/Apps/superfractal/basins.json",Ready
32,OS SHELL,BRAIN,Integration,P0,"One home screen with dock that launches every module — phone or browser","You are CASH.BOT — OS SHELL MODULE, the capstone. Tie everything they built into ONE home screen with dock, reachable from any device. Walk them: 1) list what's real/working, 2) build shell (dark, mobile-first, dock of icons, brain search bar top), 3) reach from phone (private), 4) drive it, 5) name the final win.","mkdir -p ~/cashbot-files/Apps/shell && echo 'OS Shell module ready' > ~/cashbot-files/Apps/shell/README.md","~/cashbot-files/Apps/shell/index.html,~/cashbot-files/Apps/shell/dock.json",Ready
33,PROMPT-0,INIT,Gateway,P0,"Free front door — brand-new person makes first real money TODAY","You are CASH.BOT. Warm, sharp friend who walks beside someone broke and helps them make their first real money starting TODAY. Path 1: sell what they own (eBay), Path 2: flip thrift finds, Path 3: free sign-up cash. ONE step per message. Celebrate every win out loud — first listing, first sale, first dollar IS the glass break.","echo 'Starting CASH.BOT Prompt 0'","~/cashbot-files/sessions/session-INIT.log",Ready
34,PROMPT-1A,INIT,Cloud Setup,P0,"Set up Vultr cloud RDP — your always-on machine","Help them: 1) get Claude Pro + Vultr accounts, 2) quote monthly cost, 3) create always-on desktop via Vultr API, 4) confirm it's up, 5) move to 1C to connect from phone. ONE step per message.","echo 'Starting CASH.BOT Prompt 1A - Vultr RDP Setup'","~/cashbot-files/sessions/vultr.config",Ready
35,PROMPT-1B,INIT,Build Setup,P0,"Set up always-on machine for building (Docker, code-server ready)","Help them: 1) confirm RDP desktop up, 2) install Docker & containers, 3) install code-server, 4) start IDE, 5) open in browser. ONE step per message.","echo 'Starting CASH.BOT Prompt 1B - Build Environment'","~/cashbot-files/sessions/build.log",Ready
36,PROMPT-1C,INIT,Remote Access,P0,"Connect to cloud desktop from phone via RDP — Microsoft Remote Desktop","Help them: 1) install Microsoft Remote Desktop app, 2) paste desktop IP, 3) log in, 4) see desktop on phone, 5) hand over keyboard/screen control so Claude can drive it.","echo 'Starting CASH.BOT Prompt 1C - Remote Desktop'","~/cashbot-files/sessions/rdp.log",Ready
37,PROMPT-1D,INIT,Signup Help,P0,"Walk them through signing up for the tools they choose","Help them sign up for whichever tools they pick (Claude Pro, Vultr, Kraken, Honeygain, OnePay, etc). Affiliate links. Be upfront, paste URLs full + plainly. ONE step per message.","echo 'Starting CASH.BOT Prompt 1D - Signup'","~/cashbot-files/sessions/signups.log",Ready
38,WALLET-CRYPTO,EARN,Crypto,P1,"Receive payments in stablecoin — turn wallet into payment address","Extension of WALLET module: set up receiving stablecoin payments directly into their crypto wallet address instead of just holding.","mkdir -p ~/cashbot-files/Apps/wallet/stablecoins","~/cashbot-files/Apps/wallet/stablecoins/payments.csv",Ready
39,TRADE-REAL,EARN,Automation,P2,"Move from testnet to real trading with small amount they can lose","Extension of TRADE module: only AFTER understanding bot on testnet, move to real exchange with small funds they explicitly approve.","mkdir -p ~/cashbot-files/Apps/trade/real","~/cashbot-files/Apps/trade/real/live-config.json",Ready
40,PAY-INVOICE-BATCH,EARN,Invoicing,P1,"Send multiple invoices in one run for multiple clients","Extension of PAY module: batch process multiple client invoices from a CSV — faster for teams with multiple clients.","mkdir -p ~/cashbot-files/Apps/pay/batch","~/cashbot-files/Apps/pay/batch/clients.csv,~/cashbot-files/Apps/pay/batch/invoices.zip",Ready
41,IDE-SYNC,BUILD,Development,P1,"Sync IDE projects across devices — cloud backup of code","Extension of IDE: add cloud backup so code is never lost if machine fails.","mkdir -p ~/cashbot-files/Apps/ide/sync","~/cashbot-files/Apps/ide/sync/backup.log",Ready
42,BROWSER-SCHEDULE,BUILD,Research,P1,"Schedule browser to fetch data on a timer (daily prices, leads, etc)","Extension of BROWSER: set fetch jobs to run daily/weekly automatically.","mkdir -p ~/cashbot-files/Apps/browser/scheduled","~/cashbot-files/Apps/browser/scheduled/jobs.csv",Ready
43,FILES-GDRIVE,BUILD,Organization,P1,"Sync FILES to Google Drive for cloud backup","Extension of FILES: mirror ~/cashbot-files/ to Google Drive.","mkdir -p ~/cashbot-files/Apps/files/gdrive","~/cashbot-files/Apps/files/gdrive/sync.log",Ready
44,SITES-REDIRECT,BUILD,Hosting,P0,"Create short links & redirects to track site traffic","Extension of SITES: add link shortener + tracking to see what converts.","mkdir -p ~/cashbot-files/Apps/sites/links","~/cashbot-files/Apps/sites/links/redirects.csv",Ready
45,VNC-BACKUP,BUILD,Remote,P1,"Automated daily desktop screenshots — visual backup of state","Extension of VNC: daily screenshots so they can rewind if something breaks.","mkdir -p ~/cashbot-files/Apps/vnc/screenshots","~/cashbot-files/Apps/vnc/screenshots/backup.log",Ready
46,GENERATORS-SCHEDULE,CONTENT,Bulk Output,P1,"Schedule generator runs — wake up to finished content batch","Extension of GENERATORS: set topics to generate on a timer (nightly, so content ready in morning).","mkdir -p ~/cashbot-files/Apps/generators/scheduled","~/cashbot-files/Apps/generators/scheduled/jobs.csv",Ready
47,CAPTIONS-TRENDING,CONTENT,Social,P1,"Auto-fetch trending topics and caption them daily","Extension of CAPTIONS: watch trending hashtags, auto-generate captions for them.","mkdir -p ~/cashbot-files/Apps/captions/trending","~/cashbot-files/Apps/captions/trending/topics.csv",Ready
48,VIRALSHORTS-IDEAS,CONTENT,Video,P1,"Feed trending TikTok/Shorts ideas into script generator","Extension of VIRALSHORTS: auto-pull trending video topics, auto-generate scripts.","mkdir -p ~/cashbot-files/Apps/viralshorts/trending","~/cashbot-files/Apps/viralshorts/trending/ideas.csv",Ready
49,MARKETINGCOPY-AB,CONTENT,Copywriting,P1,"A/B test headlines — generate 3 versions per offer","Extension of MARKETINGCOPY: for each product, write 3 headline versions + test which converts.","mkdir -p ~/cashbot-files/Apps/marketingcopy/ab-tests","~/cashbot-files/Apps/marketingcopy/ab-tests/results.csv",Ready
50,KEYWORDS-TRENDS,CONTENT,Research,P1,"Find trending keywords in real-time (Google Trends API)","Extension of KEYWORDS: pull Google Trends data to find what people are searching RIGHT NOW.","mkdir -p ~/cashbot-files/Apps/keywords/trends","~/cashbot-files/Apps/keywords/trends/live.csv",Ready
51,DIFFICULTY-CPC,CONTENT,SEO,P1,"Show CPC (cost-per-click) data alongside difficulty scores","Extension of DIFFICULTY: add advertising cost data so they see both traffic difficulty + money potential.","mkdir -p ~/cashbot-files/Apps/difficulty/cpc","~/cashbot-files/Apps/difficulty/cpc/pricing.csv",Ready
52,THUMBNAILIDEA-GENERATED,CONTENT,Design,P1,"Generate actual thumbnail images (not just concepts)","Extension of THUMBNAILIDEA: use IMAGEPROMPT to actually generate the image files.","mkdir -p ~/cashbot-files/Apps/thumbnailidea/images","~/cashbot-files/Apps/thumbnailidea/images/thumb-DATE.png",Ready
53,IMAGEPROMPT-BATCH,CONTENT,AI Images,P1,"Batch-generate all images at once (FLUX, Midjourney, DALL-E API)","Extension of IMAGEPROMPT: send all prompts to API at once, wait for images.","mkdir -p ~/cashbot-files/Apps/imageprompt/generated","~/cashbot-files/Apps/imageprompt/generated/batch-DATE.zip",Ready
54,VIDEOHOOKS-TEST,CONTENT,Copywriting,P1,"A/B test hooks — run 2 versions of same video to see which hooks better","Extension of VIDEOHOOKS: pick top 2 hooks per video, run split tests.","mkdir -p ~/cashbot-files/Apps/videohooks/ab-tests","~/cashbot-files/Apps/videohooks/ab-tests/results.csv",Ready
55,LEADS-FILTER,REACH,Sales,P1,"Filter leads by fit score — only pursue the hot ones first","Extension of LEADS: pre-filter by your custom criteria (e.g. has website + 10+ employees).","mkdir -p ~/cashbot-files/Apps/leads/filtered","~/cashbot-files/Apps/leads/filtered/hot-DATE.csv",Ready
56,SCRAPER-MONITOR,REACH,Data,P1,"Watch competitor sites for changes (redesign, pricing, content)","Extension of SCRAPER: periodically re-scrape competitor sites, flag what changed.","mkdir -p ~/cashbot-files/Apps/scraper/monitor","~/cashbot-files/Apps/scraper/monitor/changes.csv",Ready
57,BLAST-REPLY-TRACK,REACH,Outreach,P1,"Track which prospects replied, auto-tag as warm leads","Extension of BLAST: sort replies into workflow (replied, interested, dead).","mkdir -p ~/cashbot-files/Apps/blast/replies","~/cashbot-files/Apps/blast/replies/tracking.csv",Ready
58,AUTOPOST-ANALYTICS,REACH,Social,P1,"Track which posts got most engagement — double down on winners","Extension of AUTOPOST: pull view counts, likes, replies — see what worked.","mkdir -p ~/cashbot-files/Apps/autopost/analytics","~/cashbot-files/Apps/autopost/analytics/performance.csv",Ready
59,EMAIL-SEQUENCE,REACH,Communication,P1,"Set up email sequence — initial email, wait 3 days, follow-up, etc","Extension of EMAIL: define rules (if no reply in 3 days, send follow-up).","mkdir -p ~/cashbot-files/Apps/email/sequences","~/cashbot-files/Apps/email/sequences/rules.json",Ready
60,INBOX-LABEL,REACH,Communication,P1,"Auto-tag incoming messages (lead, support, payment, etc)","Extension of INBOX: set rules to auto-label incoming messages.","mkdir -p ~/cashbot-files/Apps/inbox/labels","~/cashbot-files/Apps/inbox/labels/rules.json",Ready
61,COMMUNITY-BOT,REACH,Growth,P1,"Auto-reply to common questions in community (FAQ answers)","Extension of COMMUNITY: bot handles FAQ, humans handle real conversations.","mkdir -p ~/cashbot-files/Apps/community/bot","~/cashbot-files/Apps/community/bot/faq.json",Ready
62,RESEARCH-COMPETITOR,REACH,Intelligence,P1,"Deep competitor research — map their offers, pricing, messaging","Extension of RESEARCH: gather detailed competitive intel.","mkdir -p ~/cashbot-files/Apps/research/competitors","~/cashbot-files/Apps/research/competitors/analysis.csv",Ready
63,ANALYTICS-COHORT,REACH,Measurement,P1,"Cohort analysis — compare behavior of different visitor groups","Extension of ANALYTICS: segment visitors (first-time, repeat, paid, organic) and compare.","mkdir -p ~/cashbot-files/Apps/analytics/cohorts","~/cashbot-files/Apps/analytics/cohorts/data.csv",Ready
64,VOICE-COACHING,REACH,Communication,P2,"Record coaching calls and reference them later (searchable)","Extension of VOICE: keep searchable archive of calls with mentors/coaches.","mkdir -p ~/cashbot-files/Apps/voice/coaching","~/cashbot-files/Apps/voice/coaching/archive.csv",Ready
65,PHONE-GREETING,REACH,Automation,P1,"AI voicemail greeting in your voice (cloned safely)","Extension of PHONE: AI voicemail so people reach you even when offline.","mkdir -p ~/cashbot-files/Apps/phone/voicemail","~/cashbot-files/Apps/phone/voicemail/greeting.mp3",Ready
66,SUPERFRACTAL-BRAIN-SEARCH,BRAIN,Memory,P1,"Ask your brain complex questions across all your work","Extension of SUPERFRACTAL: multi-query brain (find all my interactions with Client X, etc).","mkdir -p ~/cashbot-files/Apps/superfractal/searches","~/cashbot-files/Apps/superfractal/searches/history.csv",Ready
67,OS-WIDGET,BRAIN,Integration,P0,"Floating widget dock — dock always visible, drag-accessible","Extension of OS SHELL: widget dock you can move anywhere, always visible.","mkdir -p ~/cashbot-files/Apps/shell/widget","~/cashbot-files/Apps/shell/widget/config.json",Ready
68,SITES-SEO,BUILD,Hosting,P1,"Auto-generate SEO tags + sitemap for each site","Extension of SITES: add meta descriptions, og tags, robots.txt, sitemap.xml.","mkdir -p ~/cashbot-files/Apps/sites/seo","~/cashbot-files/Apps/sites/seo/metadata.json",Ready
